Area;ISO 3 code;Year;Area type;Continent;Ember region;EU;OECD;G20;G7;ASEAN;Category;Subcategory;Variable;Unit;Value;YoY absolute change;YoY % change
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;TWh;4,88;0,57;13,23
Denmark;DNK;2002;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Total;Total Generation;TWh;39,1;1,56;4,16
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;%;17,55;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;%;82,45;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;%;27,39;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;%;5,46;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;%;17,55;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;%;12,09;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Clean;TWh;8,07;1,28;18,85
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Fossil;TWh;37,9;5,59;17,3
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Gas and Other Fossil;TWh;12,59;-1,46;-10,39
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Hydro, Bioenergy and Other Renewables;TWh;2,51;0,6;31,41
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Renewables;TWh;8,07;1,28;18,85
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Aggregate fuel;Wind and Solar;TWh;5,56;0,68;13,93
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;%;5,42;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;%;55,06;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Gas;%;21,23;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Hydro;%;0,04;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Nuclear;%;0;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Fossil;%;6,16;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Other Renewables;%;0;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Solar;%;0;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Wind;%;12,09;;
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Bioenergy;TWh;2,49;0,61;32,45
Denmark;DNK;2003;Country or economy;Europe;Europe;1;1;0;0;0;Electricity generation;Fuel;Coal;TWh;25,31;7,05;38,61
