gauge_id,country,region,dominant_share,second_region,second_share,foen_coverage,cross_region,assign_method
4015,DE,Black Forest,0.0,,0.0,0.0,no,country
4016,DE,Black Forest,0.0,,0.0,0.0,no,country
4017,DE,Black Forest,0.0,,0.0,0.0,no,country
4018,DE,Black Forest,0.0,,0.0,0.0,no,country
4019,DE,Black Forest,0.0,,0.0,0.0,no,country
4020,DE,Black Forest,0.0,,0.0,0.0,no,country
4021,DE,Black Forest,0.0,,0.0,0.0,no,country
4022,DE,Black Forest,0.0,,0.0,0.0,no,country
4023,DE,Black Forest,0.0,,0.0,0.0,no,country
4024,DE,Black Forest,0.0,,0.0,0.0,no,country
4025,DE,Black Forest,0.0,,0.0,0.0,no,country
4026,DE,Black Forest,0.0,,0.0,0.0,no,country
5001,FR,Plateau,0.0,,0.0,0.0,no,nearest
5002,FR,Plateau,0.0,,0.0,0.0,no,nearest
5003,FR,Plateau,0.0,,0.0,0.0,no,nearest
5004,FR,Jura,0.403,,0.0,0.403,yes,overlay
5005,FR,Jura,0.0,,0.0,0.0,no,nearest
5006,FR,Jura,0.0,,0.0,0.0,no,nearest
5007,FR,Jura,0.0,,0.0,0.0,no,nearest
5008,FR,Plateau,0.0,,0.0,0.0,no,nearest
5009,FR,Jura,0.0,,0.0,0.0,no,nearest
5010,FR,Jura,0.0,,0.0,0.0,no,nearest
5011,FR,Jura,0.0,,0.0,0.0,no,nearest
5012,FR,Jura,0.0,,0.0,0.0,no,nearest
5013,FR,Jura,0.0,,0.0,0.0,no,nearest
5014,FR,Jura,0.0,,0.0,0.0,no,nearest
5015,FR,Plateau,0.0,,0.0,0.0,no,nearest
5016,FR,Jura,0.0,,0.0,0.0,no,nearest
5017,FR,Alps North,0.0,,0.0,0.0,no,nearest
5018,FR,Plateau,0.0,,0.0,0.0,no,nearest
5019,FR,Plateau,0.0,,0.0,0.0,no,nearest
5020,FR,Plateau,0.0,,0.0,0.0,no,nearest
5021,FR,Jura,0.0,,0.0,0.0,no,nearest
5022,FR,Alps North,0.0,,0.0,0.0,no,nearest
5023,FR,Alps North,0.0,,0.0,0.0,no,nearest
5024,FR,Jura,0.0,,0.0,0.0,no,nearest
5025,FR,Alps West,0.0,,0.0,0.0,no,nearest
5026,FR,Alps North,0.0,,0.0,0.0,no,nearest
5027,FR,Alps West,0.0,,0.0,0.0,no,nearest
5028,FR,Alps North,0.0,,0.0,0.0,no,nearest
5029,FR,Alps North,0.0,,0.0,0.0,no,nearest
5030,FR,Jura,0.0,,0.0,0.0,no,nearest
5031,FR,Alps West,0.0,,0.0,0.0,no,nearest
5032,FR,Jura,0.251,,0.0,0.251,yes,overlay
6001,I,Alps West,0.0,,0.0,0.0,no,nearest
6002,I,Alps West,0.0,,0.0,0.0,no,nearest
6003,I,Alps South,0.0,,0.0,0.0,no,nearest
6004,I,Alps South,0.0,,0.0,0.0,no,nearest
6005,I,Alps West,0.0,,0.0,0.0,no,nearest
6006,I,Alps West,0.0,,0.0,0.0,no,nearest
6007,I,Alps South,0.0,,0.0,0.0,no,nearest
6008,I,Alps West,0.0,,0.0,0.0,no,nearest
6009,I,Alps South,0.0,,0.0,0.0,no,nearest
6010,I,Alps South,0.0,,0.0,0.0,no,nearest
6011,I,Alps South,0.502,Alps East,0.004,0.507,yes,overlay
