model,member,region,period_id,period,baseline_period,period_mean_jja_warming
ACCESS-ESM1-5,r20i1p1f1,MED,P1,2021-2040,1995-2014,1.1541963969734623
ACCESS-ESM1-5,r20i1p1f1,MED,P2,2041-2060,1995-2014,2.2097375540932385
ACCESS-ESM1-5,r20i1p1f1,MED,P3,2081-2100,1995-2014,4.507501640880621
ACCESS-ESM1-5,r20i1p1f1,NEU,P1,2021-2040,1995-2014,0.013513434917862365
ACCESS-ESM1-5,r20i1p1f1,NEU,P2,2041-2060,1995-2014,1.2187485667981415
ACCESS-ESM1-5,r20i1p1f1,NEU,P3,2081-2100,1995-2014,3.4581348493523585
ACCESS-ESM1-5,r20i1p1f1,WCE,P1,2021-2040,1995-2014,0.7434304492286701
ACCESS-ESM1-5,r20i1p1f1,WCE,P2,2041-2060,1995-2014,2.3901381158227992
ACCESS-ESM1-5,r20i1p1f1,WCE,P3,2081-2100,1995-2014,4.735833093835327
ACCESS-ESM1-5,r21i1p1f1,MED,P1,2021-2040,1995-2014,1.2899753979658537
ACCESS-ESM1-5,r21i1p1f1,MED,P2,2041-2060,1995-2014,2.21412937637936
ACCESS-ESM1-5,r21i1p1f1,MED,P3,2081-2100,1995-2014,4.506052755585342
ACCESS-ESM1-5,r21i1p1f1,NEU,P1,2021-2040,1995-2014,0.12760334083384803
ACCESS-ESM1-5,r21i1p1f1,NEU,P2,2041-2060,1995-2014,1.3565145092432271
ACCESS-ESM1-5,r21i1p1f1,NEU,P3,2081-2100,1995-2014,2.963095191938707
ACCESS-ESM1-5,r21i1p1f1,WCE,P1,2021-2040,1995-2014,1.0382313351207766
ACCESS-ESM1-5,r21i1p1f1,WCE,P2,2041-2060,1995-2014,2.4510875863907855
ACCESS-ESM1-5,r21i1p1f1,WCE,P3,2081-2100,1995-2014,4.775288218110614
ACCESS-ESM1-5,r22i1p1f1,MED,P1,2021-2040,1995-2014,1.504529938727657
ACCESS-ESM1-5,r22i1p1f1,MED,P2,2041-2060,1995-2014,2.60039261234652
ACCESS-ESM1-5,r22i1p1f1,MED,P3,2081-2100,1995-2014,4.889992421999709
ACCESS-ESM1-5,r22i1p1f1,NEU,P1,2021-2040,1995-2014,0.38092240703892977
ACCESS-ESM1-5,r22i1p1f1,NEU,P2,2041-2060,1995-2014,0.8669281912763388
ACCESS-ESM1-5,r22i1p1f1,NEU,P3,2081-2100,1995-2014,3.6914854528588537
ACCESS-ESM1-5,r22i1p1f1,WCE,P1,2021-2040,1995-2014,1.7458634594001154
ACCESS-ESM1-5,r22i1p1f1,WCE,P2,2041-2060,1995-2014,2.4869757883114554
ACCESS-ESM1-5,r22i1p1f1,WCE,P3,2081-2100,1995-2014,6.2198498269197176
ACCESS-ESM1-5,r23i1p1f1,MED,P1,2021-2040,1995-2014,1.4111889633616566
ACCESS-ESM1-5,r23i1p1f1,MED,P2,2041-2060,1995-2014,2.832052608986199
ACCESS-ESM1-5,r23i1p1f1,MED,P3,2081-2100,1995-2014,4.563037800426247
ACCESS-ESM1-5,r23i1p1f1,NEU,P1,2021-2040,1995-2014,1.034476209312959
ACCESS-ESM1-5,r23i1p1f1,NEU,P2,2041-2060,1995-2014,2.1087469613034333
ACCESS-ESM1-5,r23i1p1f1,NEU,P3,2081-2100,1995-2014,4.507352253056777
ACCESS-ESM1-5,r23i1p1f1,WCE,P1,2021-2040,1995-2014,1.6109700008527041
ACCESS-ESM1-5,r23i1p1f1,WCE,P2,2041-2060,1995-2014,3.3104989422360434
ACCESS-ESM1-5,r23i1p1f1,WCE,P3,2081-2100,1995-2014,5.648760769744011
ACCESS-ESM1-5,r24i1p1f1,MED,P1,2021-2040,1995-2014,1.5241909741289008
ACCESS-ESM1-5,r24i1p1f1,MED,P2,2041-2060,1995-2014,2.377615810808853
ACCESS-ESM1-5,r24i1p1f1,MED,P3,2081-2100,1995-2014,4.558543290508913
ACCESS-ESM1-5,r24i1p1f1,NEU,P1,2021-2040,1995-2014,1.0414244198962337
ACCESS-ESM1-5,r24i1p1f1,NEU,P2,2041-2060,1995-2014,1.5952353478888193
ACCESS-ESM1-5,r24i1p1f1,NEU,P3,2081-2100,1995-2014,3.245753304159969
ACCESS-ESM1-5,r24i1p1f1,WCE,P1,2021-2040,1995-2014,2.250812698284304
