,change_score_raw,change_score_smooth
1812-07-01,0.18855606,0.17643306
1812-10-01,0.23177606,0.17908356
1813-01-01,0.22171542,0.19324377
1813-04-01,0.26252744,0.21578425
1813-07-01,0.29410025,0.24285842
1813-10-01,0.27872798,0.270831
1814-01-01,0.3032595,0.29684702
1814-04-01,0.3413407,0.319129
1814-07-01,0.27039856,0.33699474
1814-10-01,0.26965782,0.35050508
1815-01-01,0.25437692,0.3602177
1815-04-01,0.33495793,0.36698145
1815-07-01,0.2845923,0.37186816
1815-10-01,0.32992265,0.37631074
1816-01-01,0.30978158,0.38224116
1816-04-01,0.28853664,0.39193672
1816-07-01,0.30057284,0.4076092
1816-10-01,0.25270355,0.4306633
1817-01-01,0.24959897,0.4610943
1817-04-01,0.22234045,0.49712235
1817-07-01,0.30108598,0.5354334
1817-10-01,0.4524348,0.5719618
1818-01-01,0.5100016,0.60295385
1818-04-01,0.3703365,0.62588245
1818-07-01,0.3534957,0.6399062
1818-10-01,0.28263196,0.6457027
1819-01-01,0.29603395,0.6448314
1819-04-01,0.37627086,0.6390238
1819-07-01,0.4341064,0.6297316
1819-10-01,0.33863807,0.61786366
1820-01-01,0.337388,0.6039752
1820-04-01,0.31956893,0.5884586
1820-07-01,0.4002763,0.57172304
1820-10-01,0.2800869,0.55422074
1821-01-01,0.32345232,0.53645456
1821-04-01,0.30237713,0.5190127
1821-07-01,0.35323608,0.50261146
1821-10-01,0.3636294,0.48807937
1822-01-01,0.33604127,0.47639152
1822-04-01,0.24848822,0.46851707
1822-07-01,0.22913967,0.46524125
1822-10-01,0.30674854,0.4669254
1823-01-01,0.3883406,0.4733573
1823-04-01,0.25746018,0.48361853
1823-07-01,0.47240686,0.49600607
1823-10-01,0.21652181,0.50807154
1824-01-01,0.2200672,0.5168242
1824-04-01,0.26147225,0.51921636
1824-07-01,0.49911112,0.5129202
1824-10-01,0.554646,0.49725887
1825-01-01,0.31708553,0.47375152
1825-04-01,0.20665531,0.44600946
1825-07-01,0.28416827,0.4190627
1825-10-01,0.21817765,0.3980371
1826-01-01,0.25309563,0.38684618
1826-04-01,0.21269853,0.38723305
1826-07-01,0.26151338,0.3987571
1826-10-01,0.38240546,0.4192159
1827-01-01,0.3768685,0.44556054
1827-04-01,0.36189973,0.47467694
1827-07-01,0.2506564,0.50390095
1827-10-01,0.23426782,0.53104305
1828-01-01,0.3264237,0.5544334
1828-04-01,0.482906,0.57279634
1828-07-01,0.30409768,0.5853566
1828-10-01,0.40754297,0.59196365
1829-01-01,0.46176916,0.5930624
1829-04-01,0.24901427,0.589494
1829-07-01,0.1618434,0.5821802
1829-10-01,0.31106666,0.5719824
1830-01-01,0.5845211,0.5597397
1830-04-01,0.30699447,0.54629
1830-07-01,0.36026445,0.5326705
1830-10-01,0.29131767,0.52002007
1831-01-01,0.26026407,0.5093152
1831-04-01,0.17375173,0.50101596
1831-07-01,0.3504124,0.49494383
1831-10-01,0.4520077,0.49044764
1832-01-01,0.36111253,0.48690745
1832-04-01,0.3770162,0.48422244
1832-07-01,0.18245724,0.48293552
1832-10-01,0.26762664,0.48422012
1833-01-01,0.33839446,0.4893214
1833-04-01,0.37827995,0.49911955
1833-07-01,0.28203052,0.51375765
1833-10-01,0.20181188,0.5324807
1834-01-01,0.4353458,0.55370826
1834-04-01,0.4112452,0.57532316
1834-07-01,0.30072206,0.594938
1834-10-01,0.268611,0.61011595
1835-01-01,0.3884624,0.6188315
1835-04-01,0.40294316,0.6197224
1835-07-01,0.48844907,0.61259407
1835-10-01,0.2814017,0.598617
1836-01-01,0.24530368,0.5804169
1836-04-01,0.50573826,0.5617453
1836-07-01,0.25871634,0.54687285
1836-10-01,0.25576705,0.539699
1837-01-01,0.31261668,0.542844
1837-04-01,0.23560847,0.55708706
1837-07-01,0.24615939,0.5810855
1837-10-01,0.45377773,0.61165744
1838-01-01,0.40588105,0.64433897
1838-04-01,0.4044262,0.67418057
1838-07-01,0.310785,0.6965988
1838-10-01,0.33813027,0.707965
1839-01-01,0.5278755,0.7061383
1839-04-01,0.3318145,0.6908523
1839-07-01,0.3934596,0.6639638
1839-10-01,0.45951188,0.62925714
1840-01-01,0.38866642,0.59197074
1840-04-01,0.16874082,0.5576671
1840-07-01,0.28932536,0.5308907
1840-10-01,0.2761091,0.51405203
1841-01-01,0.21987003,0.50660247
1841-04-01,0.2860959,0.50539374
1841-07-01,0.33450648,0.5057068
1841-10-01,0.5138721,0.50286424
1842-01-01,0.50798416,0.49369264
1842-04-01,0.3047174,0.4773839
1842-07-01,0.15844342,0.4554217
1842-10-01,0.18189768,0.43098044
1843-01-01,0.3177159,0.40794438
1843-04-01,0.36275697,0.39002064
1843-07-01,0.43692628,0.38011214
1843-10-01,0.21685907,0.37969992
1844-01-01,0.14153561,0.38851956
1844-04-01,0.25100738,0.40434703
1844-07-01,0.18725803,0.4231169
1844-10-01,0.36825204,0.4395971
1845-01-01,0.47199118,0.44864824
1845-04-01,0.57381487,0.446518
1845-07-01,0.29495746,0.43177614
1845-10-01,0.15557787,0.40567705
1846-01-01,0.20191085,0.37172234
1846-04-01,0.33439457,0.33487597
1846-07-01,0.33594,0.30056822
1846-10-01,0.29273218,0.27379608
1847-01-01,0.25442335,0.25839
1847-04-01,0.1461925,0.2563929
1847-07-01,0.17214309,0.26754248
1847-10-01,0.23095538,0.28908226
1848-01-01,0.21962336,0.31621888
1848-04-01,0.3699566,0.34307942
1848-07-01,0.47326255,0.36422604
1848-10-01,0.39633733,0.3762574
1849-01-01,0.21339208,0.3788236
1849-04-01,0.30151993,0.3748889
1849-07-01,0.31384543,0.36989358
1849-10-01,0.3317163,0.37026682
1850-01-01,0.19663654,0.38146865
1850-04-01,0.115317054,0.40639076
1850-07-01,0.1990179,0.44436747
1850-10-01,0.33991098,0.4912807
1851-01-01,0.41111806,0.5405539
1851-04-01,0.49218175,0.5847805
1851-07-01,0.44449288,0.61746657
1851-10-01,0.2826898,0.6343409
1852-01-01,0.33866245,0.6339899
1852-04-01,0.49074593,0.61776125
1852-07-01,0.37820914,0.58903974
1852-10-01,0.2631753,0.5523355
1853-01-01,0.28109413,0.51224345
1853-04-01,0.3648886,0.47269636
1853-07-01,0.26825395,0.43644637
1853-10-01,0.21691388,0.40506116
1854-01-01,0.2539871,0.3791331
1854-04-01,0.4282352,0.3587215
1854-07-01,0.31800595,0.34366995
1854-10-01,0.21511796,0.33393267
1855-01-01,0.23122868,0.3294114
1855-04-01,0.25766042,0.3296523
1855-07-01,0.27693892,0.3335274
1855-10-01,0.3109517,0.33916834
1856-01-01,0.25464487,0.34429145
1856-04-01,0.30940855,0.34676313
1856-07-01,0.33697462,0.3453053
1856-10-01,0.4228825,0.3399478
1857-01-01,0.26026484,0.33196858
1857-04-01,0.24784034,0.3234511
1857-07-01,0.16204515,0.31657
1857-10-01,0.15828659,0.3129923
1858-01-01,0.33169803,0.31351244
1858-04-01,0.5351939,0.3181359
1858-07-01,0.1977252,0.32640922
1858-10-01,0.19501649,0.3376544
1859-01-01,0.24386786,0.3509326
1859-04-01,0.30409998,0.36494467
1859-07-01,0.35264227,0.37788385
1859-10-01,0.25080943,0.38751256
1860-01-01,0.29773167,0.39154384
1860-04-01,0.3779701,0.38831154
1860-07-01,0.36275467,0.37739414
1860-10-01,0.32609254,0.35997528
1861-01-01,0.28478798,0.3386868
1861-04-01,0.26297814,0.3169727
1861-07-01,0.16721669,0.2980491
1861-10-01,0.23695979,0.2841115
1862-01-01,0.31260452,0.2756929
1862-04-01,0.20340605,0.27170458
1862-07-01,0.2763664,0.2700514
1862-10-01,0.37318453,0.26854405
1863-01-01,0.31461436,0.2656728
1863-04-01,0.265479,0.2612934
